x,100,x,400,x,1000
1,0,1,0,1,0
0.9688,-0.05906,0.9688,-0.12146,0.9688,-0.21388
0.9609,-0.07391,0.9609,-0.15663,0.9609,-0.27669
0.9531,-0.08864,0.9531,-0.19254,0.9531,-0.33714
0.9453,-0.10313,0.9453,-0.22847,0.9453,-0.39188
0.9063,-0.16914,0.9063,-0.23827,0.9063,-0.5155
0.8594,-0.22445,0.8594,-0.44993,0.8594,-0.42665
0.8047,-0.24533,0.8047,-0.38598,0.8047,-0.31966
0.5,0.05454,0.5,0.05816,0.5,0.02526
0.2344,0.17527,0.2344,0.30174,0.2344,0.32235
0.2266,0.17507,0.2266,0.30203,0.2266,0.33075
0.1563,0.16077,0.1563,0.28124,0.1563,0.37095
0.0938,0.12317,0.0938,0.22965,0.0938,0.32627
0.0781,0.1089,0.0781,0.2092,0.0781,0.30353
0.0703,0.10091,0.0703,0.19713,0.0703,0.29012
0.0625,0.09233,0.0625,0.1836,0.0625,0.27485
0.0547,0.08316,0.0547,0.17051,0.0547,0.25949
0,0,0,0,0,0
